CITY,LATITUDE,LONGITUDE
altengottern,51.1667,10.5667
altengrabow,52.2,12.2
altengroitzsch,51.15,12.25
altengronau,50.25,9.6167
altenhagen,53.6667,12.0667
altenhain,50.1667,8.4667
altenhaina,51.0333,8.9333
altenhammer,49.4,12.3167
altenhasslau,50.1833,9.2
altenhasungen,51.3333,9.2333
altenhausen,49.1217,9.7914
altenheerse,51.65,9.05
altenheim,48.4667,7.8
altenhellefeld,51.3167,8.1
altenhof,52.9167,13.7167
altenhofen,50.6667,7.4667
altenholz,54.4,10.1333
altenhorst,52.4833,9.75
altenkaisen,48.6167,12.8
altenkessel,49.25,6.9167
altenkirchen,49.45,7.3167
altenkleusheim,51,7.9167
altenkrempe,54.1333,10.8333
altenkunstadt,50.1333,11.25
altenlotheim,51.1167,8.9167
altenmarkt,47.7833,12.1333
altenmarkt an der alz,48,12.5333
altenmedingen,53.1333,10.6
altenmellrich,51.5333,8.2667
altenmittlau,50.15,9.15
altenmoor,53.7667,9.5667
altenmunster,48.4667,10.6
alteno,51.8667,13.8167
altenoythe,53.05,7.8833
altenpleen,54.35,12.9333
altenplos,49.9833,11.5167
altenrade,54.0833,10.1667
altenrath,50.85,7.2
altenreit,48.7,13.2333
altenried,49.4333,12.6333
altenriet,48.5833,9.2167
altenroda,51.25,11.5667
altenruthen,51.5,8.4167
altensalzkoth,52.75,10.0833
altensalzwedel,52.7667,11.1833
altenschlirf,50.55,9.4
altenschonbach,49.8167,10.4
altenschwand,47.6333,7.9833
altensenne,51.7667,8.7
altensien,54.3667,13.6833
altenspeckfeld,49.6667,10.4
altenstadt,50.2833,8.95
altenstadt an der waldnaab,49.8,12.1667
altensteig,48.5833,8.6
altensteinreuth,49.8833,11.85
altenstuhlen,53.5667,8.9333
altenthann,49.1,12.3
altentreptow,53.6833,13.25
altentreswitz,49.5833,12.3667
altenvers,50.7167,8.6167
altenwalde,53.8167,8.6833
altenweddingen,52,11.5333
altenweiher,49.65,11.75
altenwerder,53.5167,9.9167
altenwillershagen,54.25,12.5667
altenzaun,52.75,12.0333
alter graben,51.05,14.4833
alterdorf,49.1333,12.75
alterhofen,48.8448,12.6245
alterkulz,50.0333,7.4667
alterode,51.6667,11.3833
altersbach,50.7,10.5333
altersberg,48.6,12.65
altershausen,49.6833,10.6
alterstedt,51.1,10.55
altertheim,49.7167,9.75
altes lager,52.0167,13
altfalter,49.4,12.2167
altfalterbach,48.5167,11.8667
altfaltern,48.75,13.2833
altfeld,49.8278,9.5619
altforweiler,49.2667,6.7
altfranken,51.0333,13.65
altfraunhofen,48.45,12.1667
altfriesack,52.85,12.9
altgalow,53,14.1667
altgarz,52.7833,12.3667
altgaude,53.5833,7.5667
altglashutten,47.85,8.1167
altglienicke,52.4167,13.55
altglietzen,52.8333,14.0833
altglobsow,53.1167,13.1333
altgmain,48.5,12.75
althagen,54.3667,12.4167
althaidhof,49.8333,11.6333
althausen,49.4708,9.745
althegnenberg,48.2333,11.0667
altheim,47.8167,9.25
altheim ob weihung,48.3,9.9833
althen,51.3333,12.5167
althengstett,48.7333,8.8167
althirschstein,51.2667,13.4
althof,54.0833,11.9333
althornbach,49.2,7.3667
althueb,49.0167,10.2167
althutte,47.7833,8.15
althuttendorf,52.9667,13.8
altingen,48.55,8.9
altisheim,48.7333,10.8833
altisried,47.9667,10.3833
altjessnitz,51.7,12.3167
altjuhrden,53.3667,8.0833
altkalen,53.9,12.75
altkamp,54.3167,13.4167
altkatterbach,48.4667,10.7
altkirchen,50.9333,12.35
altkloster,53.4667,9.6833
altkoslarn,49.8167,11.9333
altkrautheim,49.3783,9.6386
altl,48.0167,12.1833
altlandsberg,52.5667,13.7333
altlay,49.9833,7.2667
altleiningen,49.5075,8.0733
altleis,51.25,13.5667
altludersdorf,53.0333,13.2
altluneberg,53.5333,8.8167
altlussheim,49.3017,8.4992
altmannsdorf,49.9333,10.4333
altmannsgrun,50.4333,12.2
altmannshofen,47.8833,10.05
altmannstein,48.9,11.65
altmanstein,48.9,11.65
